State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Andhra Pradesh,Eluru,7,PALIPE MYARIO,Independent,146,0,146,0.09
Andhra Pradesh,Eluru,8,SUNKARA SITARAMAIAH,Independent,161,0,161,0.1
Andhra Pradesh,Eluru,9,NOTA,None of the Above,1519,0,1519,0.95
Andhra Pradesh,Gopalapuram,1,Dunna Suman Babu,Bharatiya Janata Party,963,0,963,0.48
Andhra Pradesh,Gopalapuram,2,Nuthalapati M.Vara Prasad,Indian National Congress,1597,0,1597,0.8
Andhra Pradesh,Gopalapuram,3,Muppidi Venkateswara Rao,Telugu Desam,74210,0,74210,37.28
Andhra Pradesh,Gopalapuram,4,Venkatrao Talari,Yuvajana Sramika Rythu Congress Party,111490,0,111490,56.01
Andhra Pradesh,Gopalapuram,5,Sirra Bharatha Rao,Bahujan Samaj Party,5877,0,5877,2.95
Andhra Pradesh,Gopalapuram,6,Irlapati Praveen Kumar,Mundadugu Praja Party,439,0,439,0.22
Andhra Pradesh,Gopalapuram,7,Marapatla Srinivasarao,Independent,472,0,472,0.24
Andhra Pradesh,Gopalapuram,8,NOTA,None of the Above,3998,0,3998,2.01
Andhra Pradesh,Chintalapudi,1,VUNNAMATLA RAKADA ELIZA,Yuvajana Sramika Rythu Congress Party,114515,1240,115755,53.53
Andhra Pradesh,Chintalapudi,2,KARRA RAJARAO,Telugu Desam,79250,330,79580,36.8
Andhra Pradesh,Chintalapudi,3,CHOWTAPALLI VIKRAM KISHORE,Bharatiya Janata Party,960,5,965,0.45
Andhra Pradesh,Chintalapudi,4,MARUMUDI THOMAS,Indian National Congress,3634,13,3647,1.69
Andhra Pradesh,Chintalapudi,5,MEKA ESWARIAH,Janasena Party,11679,60,11739,5.43
Andhra Pradesh,Chintalapudi,6,SIMHACHALAM POTLURI,Pyramid Party of India,198,2,200,0.09
Andhra Pradesh,Chintalapudi,7,KALAPALA PRASAD,Independent,151,0,151,0.07
Andhra Pradesh,Chintalapudi,8,KALI LAKSHMANARAJU,Independent,166,0,166,0.08
Andhra Pradesh,Polavaram,1,KANITHI RAMA CHANDRA SEKHAR @ CHANDRA SEKHAR,Indian National Congress,6639,8,6647,3.12
Andhra Pradesh,Polavaram,2,TELLAM BALA RAJU,Yuvajana Sramika Rythu Congress Party,109522,1001,110523,51.81
Andhra Pradesh,Polavaram,3,BORAGAM VENKATA LAKSHMI,Bharatiya Janata Party,1115,4,1119,0.52
Andhra Pradesh,Polavaram,4,BORAGAM SRINIVASULU,Telugu Desam,68117,336,68453,32.09
Andhra Pradesh,Polavaram,5,ANANDA RAO GAJJALA,Nava Samaj Party,522,2,524,0.25
Andhra Pradesh,Polavaram,6,KAKA JAYA PRAVEEN KUMAR,India Praja Bandhu Party,380,3,383,0.18
Andhra Pradesh,Polavaram,7,CHIRRI BALARAJU,Janasena Party,13322,56,13378,6.27
Andhra Pradesh,Polavaram,8,MADAKAM VENKATESWARAO,All India Forward Bloc,553,0,553,0.26
Andhra Pradesh,Polavaram,9,KAKA NAGAMANI,Independent,718,0,718,0.34
Andhra Pradesh,Chintalapudi,9,NALLAMELLI SANKARA RAO,Independent,196,0,196,0.09
Andhra Pradesh,Chintalapudi,10,SONGA KARTHEEK,Independent,356,0,356,0.16
Andhra Pradesh,Chintalapudi,11,NOTA,None of the Above,3471,6,3477,1.61
Andhra Pradesh,Polavaram,10,DHARMULA SURESH,Independent,3983,8,3991,1.87
Andhra Pradesh,Polavaram,11,SUNNAM SOMA RAJU,Independent,1017,1,1018,0.48
Andhra Pradesh,Polavaram,12,NOTA,None of the Above,6002,2,6004,2.81
Andhra Pradesh,Tiruvuru,1,Kokkiligadda Rakshana Nidhi,Yuvajana Sramika Rythu Congress Party,61438,0,61438,49.84
Andhra Pradesh,Tiruvuru,2,Kothapalli Samuel Jawahar,Telugu Desam,55745,0,55745,45.22
Andhra Pradesh,Tiruvuru,3,Namburi Srinivasa Rao,Bahujan Samaj Party,2478,0,2478,2.01
Andhra Pradesh,Tiruvuru,4,Rajiv Ratan Parasa,Indian National Congress,1451,0,1451,1.18
Andhra Pradesh,Tiruvuru,5,POLE SANTHI,Bharatiya Janata Party,262,0,262,0.21
Andhra Pradesh,Tiruvuru,6,Dubbaku Sudhakar,Republican Party of India (A),103,0,103,0.08
Andhra Pradesh,Tiruvuru,7,Badugu Kranthi Kumar,Pyramid Party of India,37,0,37,0.03
Andhra Pradesh,Tiruvuru,8,Mekala Nagaraju,Mundadugu Praja Party,51,0,51,0.04
Andhra Pradesh,Tiruvuru,9,Karnakoti Anantha Rani,Independent,51,0,51,0.04
Andhra Pradesh,Tiruvuru,10,Kallepalli Tulasamma,Independent,116,0,116,0.09
Andhra Pradesh,Tiruvuru,11,Kokkeragada Venkateswara Rao,Independent,63,0,63,0.05
Andhra Pradesh,Tiruvuru,12,Kolikapogu Venkata Rao,Independent,266,0,266,0.22
Andhra Pradesh,Tiruvuru,13,NOTA,None of the Above,1210,0,1210,0.98
Andhra Pradesh,Nuzvid,1,Bommareddy Venkata Naga Chandrareddy,Bharatiya Janata Party,1912,0,1912,0.96
Andhra Pradesh,Nuzvid,2,Muddaraboina Venkateswararao.,Telugu Desam,85301,0,85301,42.78
Andhra Pradesh,Nuzvid,3,Meka Venkata Pratap Apparao,Yuvajana Sramika Rythu Congress Party,101333,0,101333,50.82
Andhra Pradesh,Nuzvid,4,B.D. Ravi kumar,Indian National Congress,2117,0,2117,1.06
Andhra Pradesh,Nuzvid,5,Kappareddy Praveen kumar,Ambedkar National Congress,238,0,238,0.12
Andhra Pradesh,Nuzvid,6,Khambhampati Poorna Chandrarao,Pyramid Party of India,121,0,121,0.06
Andhra Pradesh,Nuzvid,7,Prathipati Ambedkar,Republican Party of India,137,0,137,0.07
Andhra Pradesh,Gannavaram,1,Afsar Syed,Communist Party of India,6267,0,6267,3.1
Andhra Pradesh,Gannavaram,2,Damarla Koteswararao,Bharatiya Janata Party,921,0,921,0.46
Andhra Pradesh,Gannavaram,3,Yarlagadda Venkatarao,Yuvajana Sramika Rythu Congress Party,94076,0,94076,46.6
Andhra Pradesh,Gannavaram,4,Vamsi Vallabhaneni,Telugu Desam,95069,0,95069,47.1
Andhra Pradesh,Gannavaram,5,Veera Bhadra Prasad Sunkara,Indian National Congress,1620,0,1620,0.8
Andhra Pradesh,Gannavaram,6,Ajay Kumar Ghosh Annam,Praja Party,196,0,196,0.1
Andhra Pradesh,Gannavaram,7,Addanki Amos,Dalita Bahujana Party,969,0,969,0.48
Andhra Pradesh,Gannavaram,8,Changantipati Gandhi,Pyramid Party of India,123,0,123,0.06
Andhra Pradesh,Nuzvid,8,Basava Vaykunta Venkata Bhaskara Rao,Janasena Party,5423,0,5423,2.72
Andhra Pradesh,Nuzvid,9,Anne. Vanaja.,Independent,188,0,188,0.09
Andhra Pradesh,Nuzvid,10,Duriseti. Ashok Kumar,Independent,170,0,170,0.09
Andhra Pradesh,Nuzvid,11,Somu Venkata Siva Purna Chandrarao,Independent,237,0,237,0.12
Andhra Pradesh,Nuzvid,12,NOTA,None of the Above,2236,0,2236,1.12
Andhra Pradesh,Gudivada,1,KODALI SRI VENKATESWARA RAO,Yuvajana Sramika Rythu Congress Party,85136,0,85136,53.37
Andhra Pradesh,Gudivada,2,SISTLA DATTATREYULU,Indian National Congress,1350,0,1350,0.85
Andhra Pradesh,Gudivada,3,AVINASH DEVINENI,Telugu Desam,67493,0,67493,42.31
Andhra Pradesh,Gudivada,4,GUTTIKONDA SRI RAJA BABU,Bharatiya Janata Party,772,0,772,0.48
Andhra Pradesh,Gudivada,5,VENKATESWARA RAO KODALI,Praja Shanthi Party,233,0,233,0.15
Andhra Pradesh,Gudivada,6,GUNDAPANENI RAJAKUMARI,Pyramid Party of India,164,0,164,0.1
Andhra Pradesh,Gudivada,7,AMBEDKAR GUNDABATHINA,Independent,142,0,142,0.09
Andhra Pradesh,Gudivada,8,AVINASH GEDALA,Independent,297,0,297,0.19
Andhra Pradesh,Gudivada,9,NOOR AHAMED,Independent,103,0,103,0.06
Andhra Pradesh,Gannavaram,9,Dasari Bhagyalakshmi,Mundadugu Praja Party,81,0,81,0.04
Andhra Pradesh,Gannavaram,10,Yarlagadda Venkataramaiah Chowdary,Praja Shanthi Party,140,0,140,0.07
Andhra Pradesh,Gannavaram,11,Kalaparthi Bhaskararao,Independent,110,0,110,0.05
Andhra Pradesh,Gannavaram,12,Kolli Brahmarao,Independent,168,0,168,0.08
Andhra Pradesh,Gannavaram,13,Sudheer Kumar Gudapati,Independent,229,0,229,0.11
Andhra Pradesh,Gannavaram,14,Surapaneni Ramakrishna,Independent,230,0,230,0.11
Andhra Pradesh,Gannavaram,15,NOTA,None of the Above,1665,0,1665,0.82
Andhra Pradesh,Gudivada,10,ESSAKU MADDALI,Independent,476,0,476,0.3
Andhra Pradesh,Gudivada,11,NAGARAJU VADDADI,Independent,103,0,103,0.06
Andhra Pradesh,Gudivada,12,BOYINA BOYINA SRI SIVA VENKATA SATYANARAYANA,Independent,154,0,154,0.1
Andhra Pradesh,Gudivada,13,NOTA,None of the Above,3108,0,3108,1.95
Andhra Pradesh,Kaikalur,1,KEERTHI VENKATA RAMAPRASAD,Bharatiya Janata Party,1480,0,1480,1
Andhra Pradesh,Kaikalur,2,JAYAMANGALA VENKATA RAMANA,Telugu Desam,64259,0,64259,43.29
Andhra Pradesh,Kaikalur,3,DULAM NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,70275,0,70275,47.34
Andhra Pradesh,Kaikalur,4,NUTHULAPATI PETER PAUL PRASAD,Indian National Congress,1286,0,1286,0.87
Andhra Pradesh,Kaikalur,5,SADEY DAVID RAJU,Republican Party of India (A),157,0,157,0.11
Andhra Pradesh,Kaikalur,6,GUTTA BALA PRASUNAMBA,Pyramid Party of India,112,0,112,0.08
Andhra Pradesh,Kaikalur,7,Busanaboyina Venkateswara Rao,Janasena Party,8477,0,8477,5.71
Andhra Pradesh,Kaikalur,8,ALUMOLU SOMESWARA RAO,Praja Shanthi Party,119,0,119,0.08
Andhra Pradesh,Kaikalur,9,KRISHNA NAGARAJU KOLLIPARA,Independent,146,0,146,0.1
Andhra Pradesh,Pedana,1,KAGITHA KRISHNA PRASAD,Telugu Desam,53898,183,54081,37.08
Andhra Pradesh,Pedana,2,JOGI RAMESH,Yuvajana Sramika Rythu Congress Party,61603,317,61920,42.46
Andhra Pradesh,Pedana,3,VENKATA RAJU SATTINENI,Indian National Congress,1180,0,1180,0.81
Andhra Pradesh,Pedana,4,SODESETTI BALAJI RAO,Bharatiya Janata Party,696,3,699,0.48
Andhra Pradesh,Pedana,5,ANKEM LAKSHMI SRINIVAS,Janasena Party,25636,97,25733,17.64
Andhra Pradesh,Pedana,6,CHINTA NAGA RAJU,India Praja Bandhu Party,338,0,338,0.23
Andhra Pradesh,Pedana,7,PUPPALA VENKATA SWAMY,Pyramid Party of India,161,1,162,0.11
Andhra Pradesh,Pedana,8,MUTYALA VENKATA SWAMI,All India Praja Party,110,1,111,0.08
Andhra Pradesh,Machilipatnam,1,KOLLU RAVINDRA,Telugu Desam,59770,520,60290,40.44
Andhra Pradesh,Machilipatnam,2,PANTAM VENKATA GAJENDRA RAO,Bharatiya Janata Party,776,13,789,0.53
Andhra Pradesh,Machilipatnam,3,PERNI VENKATARAMAIAH (NANI),Yuvajana Sramika Rythu Congress Party,65008,1133,66141,44.36
Andhra Pradesh,Machilipatnam,4,MAHAMMAD DADA SAHEB,Indian National Congress,1217,2,1219,0.82
Andhra Pradesh,Machilipatnam,5,PENTA VEERA VENKATA NAGA MURALIDHAR,Praja Shanthi Party,208,3,211,0.14
Andhra Pradesh,Machilipatnam,6,BANDI RAMA KRISHNA,Janasena Party,18615,192,18807,12.61
Andhra Pradesh,Machilipatnam,7,VADAPALLI RAGHUNADH,Pyramid Party of India,184,0,184,0.12
Andhra Pradesh,Machilipatnam,8,VADLAMUDI SESHA SAI DURGA RAO,Independent,202,1,203,0.14
Andhra Pradesh,Kaikalur,10,BHUPATHIRAJU RAMESH KUMAR RAJU,Independent,74,0,74,0.05
Andhra Pradesh,Kaikalur,11,SONTI KUMARA SWAMY,Independent,178,0,178,0.12
Andhra Pradesh,Kaikalur,12,GONTHUPULUGU SATISH KUMAR,Independent,111,0,111,0.07
Andhra Pradesh,Kaikalur,13,BUSANABOINA SITA ANNAPURNA,Independent,169,0,169,0.11
Andhra Pradesh,Kaikalur,14,VEERABATTINA SUVARNA RAJU,Independent,230,0,230,0.15
Andhra Pradesh,Kaikalur,15,NOTA,None of the Above,1365,0,1365,0.92
Andhra Pradesh,Pedana,9,MURTY RAJU KOSANAM,Independent,217,0,217,0.15
Andhra Pradesh,Pedana,10,NOTA,None of the Above,1403,4,1407,0.96
Andhra Pradesh,Avanigadda,1,ANDE SRIRAMA MURTHY,Indian National Congress,2294,0,2294,1.24
Andhra Pradesh,Avanigadda,2,G.V. NagaRayalu,Bharatiya Janata Party,621,10,631,0.34
Andhra Pradesh,Avanigadda,3,BUDDHAPRASAD MANDALI,Telugu Desam,57305,417,57722,31.3
Andhra Pradesh,Avanigadda,4,RAMESH BABU SIMHADRI,Yuvajana Sramika Rythu Congress Party,77636,811,78447,42.54
Andhra Pradesh,Avanigadda,5,KANTAMNENI RAVI SHANKAR,All India Forward Bloc,13520,41,13561,7.35
Andhra Pradesh,Avanigadda,6,GUDIVAKA. SRIMANNARAYANA,Praja Satta Party,367,0,367,0.2
Andhra Pradesh,Avanigadda,7,PARASA. NAGAMALLESWARARAO,India Praja Bandhu Party,254,0,254,0.14
Andhra Pradesh,Avanigadda,8,Muttamsetty Krishna Rao,Janasena Party,28159,397,28556,15.49
Andhra Pradesh,Machilipatnam,9,NOTA,None of the Above,1251,7,1258,0.84
Andhra Pradesh,Pamarru,1,Anil Kumar Kaile,Yuvajana Sramika Rythu Congress Party,87910,637,88547,56.15
Andhra Pradesh,Pamarru,2,Kalpana Uppuleti,Telugu Desam,57493,181,57674,36.57
Andhra Pradesh,Pamarru,3,Medepalli Jhansi Rani,Bahujan Samaj Party,5560,14,5574,3.53
Andhra Pradesh,Pamarru,4,Movva Mohana Rao,Indian National Congress,1785,3,1788,1.13
Andhra Pradesh,Pamarru,5,Valaparla Venkateswara Rao,Bharatiya Janata Party,609,1,610,0.39
Andhra Pradesh,Pamarru,6,Kolluri Benarji,All India Praja Party,165,0,165,0.1
Andhra Pradesh,Pamarru,7,Badugu Kranthi Kumar,Pyramid Party of India,141,0,141,0.09
Andhra Pradesh,Pamarru,8,Rebba Chandra Rao,Republican Party of India,219,1,220,0.14
Andhra Pradesh,Pamarru,9,Arise Krishna Prasad,Independent,160,0,160,0.1
Andhra Pradesh,Avanigadda,9,VENKATA NANCHARAIAH MUNGARA,Pyramid Party of India,173,0,173,0.09
Andhra Pradesh,Avanigadda,10,Anand Kumar. Ventrapragada,Independent,224,3,227,0.12
Andhra Pradesh,Avanigadda,11,Kodali Suneela,Independent,138,0,138,0.07
Andhra Pradesh,Avanigadda,12,Raghavendrarao. Simhadri.,Independent,248,0,248,0.13
Andhra Pradesh,Avanigadda,13,NOTA,None of the Above,1776,3,1779,0.96
Andhra Pradesh,Vijaywada West,1,Piyush P.Desai,Bharatiya Janata Party,4010,0,4010,2.96
Andhra Pradesh,Vijaywada West,2,Matta Job Ratna Kumar,Indian National Congress,1929,0,1929,1.43
Andhra Pradesh,Vijaywada West,3,Velam Palli Srinivasa Rao,Yuvajana Sramika Rythu Congress Party,49386,0,49386,36.49
Andhra Pradesh,Vijaywada West,4,Shabana Musarat Khatoon,Telugu Desam,45655,0,45655,33.73
Andhra Pradesh,Vijaywada West,5,Abdul Rawoof,Navarang Congress Party,150,0,150,0.11
Andhra Pradesh,Vijaywada West,6,Koppolu Vijaya Kumar,Jana Jagruti Party,66,0,66,0.05
Andhra Pradesh,Vijaywada West,7,KHIZRA BEGUM,Ambedkar National Congress,72,0,72,0.05
Andhra Pradesh,Vijaywada West,8,Gudavalli Mery Rani,India Praja Bandhu Party,71,0,71,0.05
Andhra Pradesh,Pamarru,10,Gandrapu Ashok Babu,Independent,417,0,417,0.26
Andhra Pradesh,Pamarru,11,Doppalapudi Ajay Babu,Independent,212,0,212,0.13
Andhra Pradesh,Pamarru,12,Mangam Raja Manohar,Independent,249,0,249,0.16
Andhra Pradesh,Pamarru,13,NOTA,None of the Above,1929,5,1934,1.23
Andhra Pradesh,Penamaluru,1,LANKA KARUNAKAR DAS,Bahujan Samaj Party,15325,0,15325,7.22
Andhra Pradesh,Penamaluru,2,KOLUSU PARTHA SARATHY,Yuvajana Sramika Rythu Congress Party,100597,0,100597,47.37
Andhra Pradesh,Penamaluru,3,GOPISETTY DURGA PRASAD,Bharatiya Janata Party,1524,0,1524,0.72
Andhra Pradesh,Penamaluru,4,Bode Prasad,Telugu Desam,89580,0,89580,42.18
Andhra Pradesh,Penamaluru,5,LAM THANTIYA KUMARI,Indian National Congress,2172,0,2172,1.02
Andhra Pradesh,Penamaluru,6,AMBATI SIVANAGA MALLESWARA RAO,All India Jaihind Party,232,0,232,0.11
Andhra Pradesh,Penamaluru,7,KOKKIRIGADDA SYAM BABU,National Dalitha Dhal Party,152,0,152,0.07
Andhra Pradesh,Penamaluru,8,KONA VIJAYA BABU,Republican Party of India,319,0,319,0.15
Andhra Pradesh,Vijaywada West,9,Nagendla Deva Sahayam,All India Forward Bloc,66,0,66,0.05
Andhra Pradesh,Vijaywada West,10,PONDUGULA VENKATA REDDY,Pyramid Party of India,168,0,168,0.12
Andhra Pradesh,Vijaywada West,11,POTHINA VENKATA MAHESH,Janasena Party,20514,0,20514,15.16
Andhra Pradesh,Vijaywada West,12,SHAIK ABDUL KAREEM,Indian Union Muslim League,96,0,96,0.07
Andhra Pradesh,Vijaywada West,13,Arugolanu Abraham,Independent,93,0,93,0.07
Andhra Pradesh,Vijaywada West,14,KORAADA VIJAYA KUMAR,Independent,11360,0,11360,8.39
Andhra Pradesh,Vijaywada West,15,CHALUMURI PRABHAKARA RAO,Independent,64,0,64,0.05
Andhra Pradesh,Vijaywada West,16,TALLURU VENKATA KRISHNA RAO,Praja Shanthi Party,188,0,188,0.14
Andhra Pradesh,Vijaywada West,17,Prasanna (Darling),Independent,147,0,147,0.11
Andhra Pradesh,Vijaywada West,18,MOHAMMAD RAFEEQ UR RAHMAN,Independent,87,0,87,0.06
Andhra Pradesh,Vijayawada central,1,VALIBOYINA GURUNADHAM,Indian National Congress,1559,0,1559,1.12
Andhra Pradesh,Vijayawada central,2,CHIGURUPATI BABURAO,Communist Party of India  (Marxist),23358,0,23358,16.81
Andhra Pradesh,Vijayawada central,3,BONDA UMAMAHESWARA RAO,Telugu Desam,55076,0,55076,39.64
Andhra Pradesh,Vijayawada central,4,VISHNU VARDHAN MALLADI,Yuvajana Sramika Rythu Congress Party,55008,0,55008,39.59
Andhra Pradesh,Vijayawada central,5,SREE SATYA MURTHY VAMARAJU,Bharatiya Janata Party,1880,0,1880,1.35
Andhra Pradesh,Vijayawada central,6,KAMBHAMPATI NARASIMHAM,Jana Jagruti Party,150,0,150,0.11
Andhra Pradesh,Vijayawada central,7,KOLLIPARA NAVIN KUMAR,Mundadugu Praja Party,87,0,87,0.06
Andhra Pradesh,Penamaluru,9,Vemuri Partha Saradhi,Praja Shanthi Party,300,0,300,0.14
Andhra Pradesh,Penamaluru,10,POKALA RAJU,India Praja Bandhu Party,95,0,95,0.04
Andhra Pradesh,Penamaluru,11,VALLURU SAMRAJYAM,Pyramid Party of India,157,0,157,0.07
Andhra Pradesh,Penamaluru,12,KOLUSU KAMALA LAKSHMI,Independent,109,0,109,0.05
Andhra Pradesh,Penamaluru,13,SIVA RAMA KRISHNA PRASAD PADAMATA,Independent,260,0,260,0.12
Andhra Pradesh,Penamaluru,14,NOTA,None of the Above,1542,0,1542,0.73
Andhra Pradesh,Vijaywada West,19,Ratnavath Kishore Kumar,Independent,205,0,205,0.15
Andhra Pradesh,Vijaywada West,20,Srinivas Konumu,Independent,149,0,149,0.11
Andhra Pradesh,Vijaywada West,21,SHAIK SHABASHI,Independent,122,0,122,0.09
Andhra Pradesh,Vijaywada West,22,Saragada Venkateswara Reddy,Independent,53,0,53,0.04
Andhra Pradesh,Vijaywada West,23,NOTA,None of the Above,686,0,686,0.51
Andhra Pradesh,Vijayawada central,8,CHINTHALACHERUVU HEMALATHA,National Dalitha Dhal Party,106,0,106,0.08
Andhra Pradesh,Vijayawada central,9,DILLI KANAKA DURGA,Pyramid Party of India,108,0,108,0.08
Andhra Pradesh,Vijayawada central,10,DASYAM SRINIVASA NAGESWARA VARA PRASAD BABU,Jana Vaahini Party,62,0,62,0.04
Andhra Pradesh,Vijayawada central,11,ARZA VENKATA VIJAYA KRISHNA VYSHALI,Vidhyardhula Mahilala Raithula Mahasena Party,58,0,58,0.04
Andhra Pradesh,Vijayawada central,12,SHAIK SADDAM HUSSAIN,Indian Union Muslim League,78,0,78,0.06
Andhra Pradesh,Vijayawada central,13,GONDESI UMAMAHESWARA REDDY,Independent,64,0,64,0.05
Andhra Pradesh,Vijayawada central,14,PEDAPATI CHANDRA SEKHAR,Independent,137,0,137,0.1
Andhra Pradesh,Vijayawada central,15,PEDDI SRINIVASA RAO,Independent,88,0,88,0.06
Andhra Pradesh,Vijayawada central,16,MALLADI VISHNU VARDHAN,Independent,283,0,283,0.2
Andhra Pradesh,Vijayawada central,17,SUSARLA VENKATA PRASAD RAVI TEJA,Independent,70,0,70,0.05
Andhra Pradesh,Vijayawada central,18,NOTA,None of the Above,758,0,758,0.55
Andhra Pradesh,Mylavaram,1,UMA MAHESWARARAO DEVINENI,Telugu Desam,65798,0,65798,43.13
Andhra Pradesh,Mylavaram,2,BALA KOTESWARARAO NUTULAPATI,Bharatiya Janata Party,663,0,663,0.43
Andhra Pradesh,Mylavaram,3,BORRA KIRAN,Indian National Congress,1233,0,1233,0.81
Andhra Pradesh,Mylavaram,4,VASANTHA VENKATA KRISHNA PRASAD,Yuvajana Sramika Rythu Congress Party,77820,0,77820,51.01
Andhra Pradesh,Mylavaram,5,AKKALA RAMA MOHANRAO (GANDHI),Janasena Party,4689,0,4689,3.07
Andhra Pradesh,Mylavaram,6,NAGARAJU GUDIWADA,Pyramid Party of India,66,0,66,0.04
Andhra Pradesh,Mylavaram,7,PERAM SIVA NAGESWARARAO,Republican Party of India (A),41,0,41,0.03
Andhra Pradesh,Mylavaram,8,ERRAGUNTA RAJA RAO,India Praja Bandhu Party,75,0,75,0.05
Andhra Pradesh,Mylavaram,9,VENKATA KRISHNA RAO BOGOLU,Praja Shanthi Party,92,0,92,0.06
Andhra Pradesh,Vijayawada East,1,Gadde Rama Mohan,Telugu Desam,71203,0,71203,43.24
Andhra Pradesh,Vijayawada East,2,Narendra Vangaveeti,Bharatiya Janata Party,1869,0,1869,1.14
Andhra Pradesh,Vijayawada East,3,Ponugupati Nancharayya,Indian National Congress,1698,0,1698,1.03
Andhra Pradesh,Vijayawada East,4,Boppana Bhava Kumar,Yuvajana Sramika Rythu Congress Party,60915,0,60915,36.99
Andhra Pradesh,Vijayawada East,5,Arza Dileep Chaitanya,Vidhyardhula Mahilala Raithula Mahasena Party,200,0,200,0.12
Andhra Pradesh,Vijayawada East,6,Avinash Siddela,Praja Shanthi Party,104,0,104,0.06
Andhra Pradesh,Vijayawada East,7,Chekuri Pavan Varma,Pyramid Party of India,97,0,97,0.06
Andhra Pradesh,Vijayawada East,8,Jada Sravan Kumar,Mundadugu Praja Party,129,0,129,0.08
Andhra Pradesh,Nandigama,1,Jangam Sunil Raju.,Bharatiya Janata Party,481,0,481,0.44
Andhra Pradesh,Nandigama,2,Tangirala Sowmya,Telugu Desam,48485,0,48485,44.8
Andhra Pradesh,Nandigama,3,Batchalakoor. Pushapa Raju,Bahujan Samaj Party,1599,0,1599,1.48
Andhra Pradesh,Nandigama,4,MONDITOKA JAGAN MOHANA RAO,Yuvajana Sramika Rythu Congress Party,55912,0,55912,51.66
Andhra Pradesh,Nandigama,5,VELPULA PARAMESWARARAO,Indian National Congress,770,0,770,0.71
Andhra Pradesh,Nandigama,6,KUNDETI MANGAMMA,Pyramid Party of India,57,0,57,0.05
Andhra Pradesh,Nandigama,7,DONTAMALA NAYANA BABU,India Praja Bandhu Party,105,0,105,0.1
Andhra Pradesh,Nandigama,8,TANGIRALA . SHAILAJA,Independent,73,0,73,0.07
Andhra Pradesh,Nandigama,9,BONDALA. RAMA KRISHNA,Independent,107,0,107,0.1
Andhra Pradesh,Mylavaram,10,KRISHNA PRASAD PONNAGANTI,Independent,44,0,44,0.03
Andhra Pradesh,Mylavaram,11,KOLLI SAIDA RAO,Independent,50,0,50,0.03
Andhra Pradesh,Mylavaram,12,PRATHI SAI DASARADHI,Independent,45,0,45,0.03
Andhra Pradesh,Mylavaram,13,MAGANTI VENKATA RAMA RAO,Independent,115,0,115,0.08
Andhra Pradesh,Mylavaram,14,MANDAVA SUBBARAO,Independent,92,0,92,0.06
Andhra Pradesh,Mylavaram,15,RAYALA NARASIMHA RAO,Independent,229,0,229,0.15
Andhra Pradesh,Mylavaram,16,VALLABHANENI. NAGA PAVAN KUMAR (NANI),Independent,379,0,379,0.25
Andhra Pradesh,Mylavaram,17,VENKATA RAMARAO. GARIMELLA,Independent,479,0,479,0.31
Andhra Pradesh,Mylavaram,18,SHAIK. SHAREEF,Independent,138,0,138,0.09
Andhra Pradesh,Mylavaram,19,NOTA,None of the Above,517,0,517,0.34
Andhra Pradesh,Vijayawada East,9,Battina Ramu,Janasena Party,27152,0,27152,16.49
Andhra Pradesh,Vijayawada East,10,Sundar Rajanikanth Pulavarthi,Navarang Congress Party,92,0,92,0.06
Andhra Pradesh,Vijayawada East,11,Tammisetty Chakravathy,Independent,152,0,152,0.09
Andhra Pradesh,Vijayawada East,12,Siva Kumar.B,Independent,87,0,87,0.05
Andhra Pradesh,Vijayawada East,13,NOTA,None of the Above,963,0,963,0.58
Andhra Pradesh,Jaggayyapeta,1,APPARAO KARNATI,Indian National Congress,1006,0,1006,0.76
Andhra Pradesh,Jaggayyapeta,2,UDAYABHANU SAMINENI,Yuvajana Sramika Rythu Congress Party,66369,0,66369,50.37
Andhra Pradesh,Jaggayyapeta,3,RAJAGOPAL SREERAM,Telugu Desam,61462,0,61462,46.65
Andhra Pradesh,Jaggayyapeta,4,A. P. SRIKANTH,Bharatiya Janata Party,465,0,465,0.35
Andhra Pradesh,Jaggayyapeta,5,VENKATA RAMANA KUMAR DHARANIKOTA,Janasena Party,1091,0,1091,0.83
Andhra Pradesh,Jaggayyapeta,6,KASUKURTHI DASARADHA RAMARAO,Independent,185,0,185,0.14
Andhra Pradesh,Jaggayyapeta,7,JAMA ANANDARAO,Independent,66,0,66,0.05
Andhra Pradesh,Jaggayyapeta,8,MUPARTHI. PHANI CHAITANYA,Independent,57,0,57,0.04
Andhra Pradesh,Nandigama,10,NOTA,None of the Above,647,0,647,0.6
Andhra Pradesh,Jaggayyapeta,9,RAMAKRISHNA SRIRAM,Independent,152,0,152,0.12
Andhra Pradesh,Jaggayyapeta,10,SAMINENI UDAY MADHAV,Independent,128,0,128,0.1
Andhra Pradesh,Jaggayyapeta,11,NOTA,None of the Above,780,0,780,0.59
Andhra Pradesh,Pedakurapadu,1,KOMMALAPATI SRIDHAR,Telugu Desam,85121,352,85473,43.19
Andhra Pradesh,Pedakurapadu,2,KOTESWARA RAO GANDHAM,Bharatiya Janata Party,1104,10,1114,0.56
Andhra Pradesh,Pedakurapadu,3,SANKARA RAO NAMBURU,Yuvajana Sramika Rythu Congress Party,98871,706,99577,50.32
Andhra Pradesh,Pedakurapadu,4,PAMIDI NAGESWARA RAO,Indian National Congress,2127,5,2132,1.08
