State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Andhra Pradesh,Kadapa,5,AKBER MABASHA,Anna YSR Congress Party,88,3,91,0.06
Andhra Pradesh,Kadapa,6,KANDALAM LAKSHMI,Pyramid Party of India,93,4,97,0.06
Andhra Pradesh,Kadapa,7,K. MAHAMMAD BASHA,Jai Hindustan Party,89,1,90,0.05
Andhra Pradesh,Kadapa,8,SUNKARA SREENIVAS,Janasena Party,5193,133,5326,3.25
Andhra Pradesh,Kadapa,9,K. KUMARASWAMY,Independent,34,0,34,0.02
Andhra Pradesh,Kadapa,10,MOHAMMAD ALI SHAIK,Independent,54,0,54,0.03
Andhra Pradesh,Kadapa,11,N. RAVI SANKAR REDDY,Independent,550,7,557,0.34
Andhra Pradesh,Kadapa,12,A. RAJAGOPAL REDDY,Independent,374,2,376,0.23
Andhra Pradesh,Kadapa,13,S. RAMACHANDRUDU,Independent,100,6,106,0.06
Andhra Pradesh,Kadapa,14,SETTYPALLE. SUBRAMANYAM,Independent,103,2,105,0.06
Andhra Pradesh,Kadapa,15,SYED SALAUDDIN,Independent,377,2,379,0.23
Andhra Pradesh,Kadapa,16,NOTA,None of the Above,1411,32,1443,0.88
Andhra Pradesh,Kodur,1,Koramutla Sreenivasulu,Yuvajana Sramika Rythu Congress Party,77516,331,77847,57.3
Andhra Pradesh,Kodur,2,Gosala Devi,Indian National Congress,1322,2,1324,0.97
Andhra Pradesh,Kodur,3,Panthagani Narasimha Prasad,Telugu Desam,43006,165,43171,31.77
Andhra Pradesh,Kodur,4,Panathala Suresh,Bharatiya Janata Party,1036,8,1044,0.77
Andhra Pradesh,Kodur,5,Bonasi Venkata Subbaiah,Janasena Party,9801,30,9831,7.24
Andhra Pradesh,Kodur,6,Mandapalle Sreenivasulu,Pyramid Party of India,113,0,113,0.08
Andhra Pradesh,Kodur,7,Maddela Ramadevi,Indian Union Muslim League,114,0,114,0.08
Andhra Pradesh,Kodur,8,K.Rambabu,Ambedkar National Congress,96,0,96,0.07
Andhra Pradesh,Kodur,9,Karrathoti Harinarayana,Independent,98,0,98,0.07
Andhra Pradesh,Kodur,10,J.Gangulaiah,Independent,74,0,74,0.05
Andhra Pradesh,Kodur,11,Joropalli Narasimhulu,Independent,128,1,129,0.09
Andhra Pradesh,Kodur,12,Nagiripati Sivaiah,Independent,86,0,86,0.06
